scientific_name,common_name
lophophorus impejanus,himalayan monal
lophophorus sclateri,sclater's monal
lophophorus lhuysii,chinese monal
pucrasia macrolopha,koklass pheasant
meleagris gallopavo,wild turkey
meleagris ocellata,ocellated turkey
bonasa umbellus,ruffed grouse
tetrastes bonasia,hazel grouse
tetrastes sewerzowi,severtzov's grouse
centrocercus urophasianus,greater sage-grouse
centrocercus minimus,gunnison sage-grouse
dendragapus obscurus,dusky grouse
dendragapus fuliginosus,sooty grouse
tympanuchus phasianellus,sharp-tailed grouse
tympanuchus cupido,greater prairie-chicken
tympanuchus pallidicinctus,lesser prairie-chicken
lagopus leucura,white-tailed ptarmigan
lagopus lagopus,willow ptarmigan
lagopus muta,rock ptarmigan
falcipennis falcipennis,siberian grouse
canachites canadensis,spruce grouse
tetrao urogalloides,black-billed capercaillie
tetrao urogallus,western capercaillie
lyrurus tetrix,black grouse
lyrurus mlokosiewiczi,caucasian grouse
rhizothera longirostris,long-billed partridge
rhizothera dulitensis,dulit partridge
perdix hodgsoniae,tibetan partridge
perdix perdix,gray partridge
perdix dauurica,daurian partridge
syrmaticus soemmerringii,copper pheasant
syrmaticus reevesii,reeves's pheasant
syrmaticus mikado,mikado pheasant
syrmaticus ellioti,elliot's pheasant
syrmaticus humiae,hume's pheasant
chrysolophus pictus,golden pheasant
chrysolophus amherstiae,lady amherst's pheasant
phasianus colchicus,ring-necked pheasant
phasianus versicolor,green pheasant
catreus wallichii,cheer pheasant
crossoptilon harmani,tibetan eared-pheasant
crossoptilon crossoptilon,white eared-pheasant
crossoptilon mantchuricum,brown eared-pheasant
crossoptilon auritum,blue eared-pheasant
lophura edwardsi,edwards's pheasant
lophura swinhoii,swinhoe's pheasant
lophura bulweri,bulwer's pheasant
lophura leucomelanos,kalij pheasant
lophura nycthemera,silver pheasant
lophura erythrophthalma,malayan crestless fireback
lophura pyronota,bornean crestless fireback
lophura diardi,siamese fireback
lophura inornata,salvadori's pheasant
lophura rufa,malayan crested fireback
lophura ignita,bornean crested fireback
rheinardia ocellata,vietnamese crested argus
rheinardia nigrescens,malayan crested argus
argusianus argus,great argus
afropavo congensis,congo peacock
pavo cristatus,indian peafowl
pavo muticus,green peafowl
